Artist and Title,Country
Enrique Iglesias - SUBEME LA RADIO,Argentina 
Bad Bunny - HIBIKI,Argentina 
Bad Bunny - Un Ratito,Argentina 
Chris Jedi - La Llevo Al Cielo (Ft. Ñengo Flow),Argentina 
DJ Luian - Verte Ir,Argentina 
Rauw Alejandro - BABY HELLO,Argentina 
Milo j - ALUMBRE,Argentina 
Gusty dj - ¿Y pa la Wacha Loca? (con Salastkbron) - Remix,Argentina 
Callejero Fino - Que Te Vaya Bien,Argentina 
"Bizarrap - Natanael Cano: Bzrp Music Sessions, Vol. 59",Argentina 
Olivia Rodrigo - drivers license,Argentina 
Ricky Martin - Vente Pa' Ca,Argentina 
Aya Nakamura - Djadja,Argentina 
Sebastian Yatra - Tacones Rojos,Argentina 
TINI - Recuerdo,Argentina 
DobleP - FIESTA PUNKY,Argentina 
Nicky Jam - Te Robaré,Argentina 
Milo j - MORNING,Argentina 
Quevedo - WANDA,Argentina 
Maluma - 11 PM,Argentina 
Rombai - Cuando Se Pone a Bailar,Argentina 
"Bizarrap - Kiddo Toto: Bzrp Music Sessions, Vol. 11",Argentina 
J Balvin - Morado,Argentina 
Daddy Yankee - Vuelve,Argentina 
Damas Gratis - Perrito Malvado,Argentina 
Ozuna - Baila Baila Baila,Argentina 
Paulo Londra - Forever Alone,Argentina 
Wisin - Mi Niña,Argentina 
J Balvin - Rojo,Argentina 
Bad Bunny - NADIE SABE,Argentina 
Alan Gomez - MESITA | Mission 05,Argentina 
Gusty dj - Gusty DJ | Ecko - Session en el Barrio #7,Argentina 
CNCO - Hey DJ,Argentina 
Bad Bunny - Yo No Soy Celoso,Argentina 
Maluma - Sobrio,Argentina 
Ryan Castro - Jordan,Argentina 
"Duki - cONTRA><mi< a=""""></mi<>",Argentina 
Anuel AA - Amanece,Argentina 
La T y La M - Messirve Mix 5,Argentina 
Jere Klein - X ESO BB,Argentina 
Duki - YIN YAN,Argentina 
Enrique Iglesias - EL BAÑO,Argentina 
Myke Towers - ALMAS GEMELAS,Argentina 
Wisin - Escápate Conmigo,Argentina 
Lyanno - En Tu Cuerpo - Remix,Argentina 
YSY A - LUGARES QUE LLEGO,Argentina 
Young Miko - Lisa,Argentina 
Rauw Alejandro - DILUVIO,Argentina 
Sebastian Yatra - Cristina,Argentina 
Marc Seguí - Tiroteo - Remix,Argentina 
Perro Primo - TRUCHO,Argentina 
TINI - Las Jordans,Argentina 
Paulo Londra - Homerun (Intro),Argentina 
Camilo - Por Primera Vez,Argentina 
zzoilo - Mon Amour - Remix,Argentina 
scuboom - Milagrosa Tiktok,Argentina 
NATHY PELUSO - VIVIR ASÍ ES MORIR DE AMOR,Argentina 
Feid - Niña Bonita,Argentina 
LIT killah - LuXxX,Argentina 
Damas Gratis - No Te Creas Tan Importante - En Vivo,Argentina 
Oscu - Numero 1,Argentina 
Rafaga - Mentirosa Remix,Argentina 
KHEA - PARA AMARTE A TI,Argentina 
L-Gante - Pistola,Argentina 
Ozuna - El Farsante,Argentina 
Paulo Londra - Por Eso Vine,Argentina 
Nicki Nicole - Wapo Traketero,Argentina 
Danny Ocean - Fuera del mercado,Argentina 
Nicky Jam - Whine Up,Argentina 
Rauw Alejandro - PUNTO 40,Argentina 
Rei - Pechito Partido,Argentina 
Crissin - Poblado,Argentina 
KAROL G - X SI VOLVEMOS,Argentina 
J Balvin - Una Nota,Argentina 
Anuel AA - Keii,Argentina 
Luis Fonsi - Imposible,Argentina 
Lunay - Aventura,Argentina 
Lali - Obsesión,Argentina 
Ovy On The Drums - Inolvidable,Argentina 
Cris Mj - Diabólica,Argentina 
6ix9ine - BEBE,Argentina 
Dalex - Bellaquita,Argentina 
Rich Music LTD - Quizás,Argentina 
TINI - tinta 90,Argentina 
Sebastian Yatra - Runaway,Argentina 
Mora - TUS LÁGRIMAS,Argentina 
J Balvin - Blanco,Argentina 
Trueno - Solo por Vos,Argentina 
Polimá Westcoast - ULTRA SOLO,Argentina 
"Bizarrap - Trueno: Bzrp Freestyle Sessions, Vol. 6",Argentina 
Maluma - Mala Mía,Argentina 
Ozuna - Síguelo Bailando,Argentina 
Sech - Que Mas Pues - Remix,Argentina 
Paulo Londra - Nublado,Argentina 
Gusty dj - GUSTY DJ I Alejo Isakk Session en el Barrio #5,Argentina 
LIT killah - CALIFORNIA,Argentina 
Duki - Perreo Bendito,Argentina 
