song,artist,Hot100 Rank,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,song_id,genre,streams
DON'T LET GO (LOVE),EN VOGUE,82,spotify:track:06TuMCjDEYjTOJScCRzmjf,0.618,0.688,5,-5.867,0,0.0477,0.409,6.32e-06,0.3,0.561,78.311,291880,4,51.39852,12,06TuMCjDEYjTOJScCRzmjf,r&b,70576.0
GET UP! (BEFORE THE NIGHT IS OVER),TECHNOTRONIC,83,spotify:track:2MOOJh1xUgND4rLjB6h4jY,0.79,0.727,6,-11.84,0,0.105,0.00418,0.000162,0.0628,0.67,123.958,337093,4,24.12279,14,2MOOJh1xUgND4rLjB6h4jY,pop,308823.0
HIGH ENOUGH,DAMN YANKEES,84,spotify:track:5t5rCnsgRBtcKqTB7SbD1Q,0.273,0.537,2,-9.612,1,0.0306,0.0241,0.0,0.0922,0.232,81.814,287320,4,41.24504,9,5t5rCnsgRBtcKqTB7SbD1Q,rock,1232912.0
BOHEMIAN RHAPSODY,QUEEN,85,spotify:track:7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,354320,4,28.92143,17,7tFiyTwD0nx5a1eklYtX2J,rock,1325802.0
CLOSE TO YOU,MAXI PRIEST,86,spotify:track:680kMGV6szhTiZbHRr3vLi,0.762,0.646,10,-8.69,0,0.092,0.0105,2.14e-06,0.0406,0.819,95.992,330080,4,48.30517,19,680kMGV6szhTiZbHRr3vLi,reggae,304898.0
ALWAYS BE MY BABY,MARIAH CAREY,87,spotify:track:2aBxt229cbLDOvtL7Xbb9x,0.649,0.531,4,-8.335,1,0.0363,0.457,0.0,0.249,0.488,78.946,258133,4,29.05772,13,2aBxt229cbLDOvtL7Xbb9x,pop,300465.0
RELEASE ME,WILSON PHILLIPS,88,spotify:track:1rIy3lkFJnMsTLZpxFmYU8,0.724,0.471,0,-11.143,1,0.0358,0.448,2.5e-06,0.218,0.442,97.211,295693,4,47.65505,12,1rIy3lkFJnMsTLZpxFmYU8,rock,1230591.0
I'M YOUR BABY TONIGHT,WHITNEY HOUSTON,89,spotify:track:3SmPl0CGxvvkQCrTv7edEE,0.665,0.899,6,-7.75,1,0.0877,0.303,2.21e-06,0.445,0.873,165.16,299427,3,36.11969,14,3SmPl0CGxvvkQCrTv7edEE,pop,313908.0
STEP BY STEP,NEW KIDS ON THE BLOCK,90,spotify:track:6J6RWKCPN5RFKHUKEUFjxS,0.787,0.63,0,-12.295,1,0.0609,0.0274,6.69e-06,0.161,0.882,125.347,267293,4,46.14574,13,6J6RWKCPN5RFKHUKEUFjxS,pop,350081.0
AGAIN,JANET JACKSON,91,spotify:track:1GrikfH0jDejDvrxo84n4P,0.873,0.591,7,-8.942,1,0.102,0.0788,0.0071,0.104,0.496,123.091,301200,4,18.83799,15,1GrikfH0jDejDvrxo84n4P,pop,285165.0
BLACK VELVET,ALANNAH MYLES,92,spotify:track:1KU5EHSz04JhGg3rReGJ0N,0.754,0.366,8,-10.07,1,0.0312,0.273,9.04e-05,0.106,0.469,91.147,287440,4,49.43096,10,1KU5EHSz04JhGg3rReGJ0N,rock,1207155.0
